date,ACDGNO,AWHMAN,DGS10,DGS1MO,DGS3MO,DGS5,DGS6MO,IC4WSA,M2SL,NASDAQ100,PCUADLVWRADLVWR,PERMIT,RETAILIMSA,SP500,T10YFF,UMCSENT,market_caps,prices,total_volumes
2021-02-01,40073.0,41.5,1.09,0.06,0.07,0.42,0.08,834000.0,19615.2,13248.9,169.8,1743.0,624830.0,3773.86,1.01,76.8,615013848827.3505,33064.78676701507,42488649643.23183
2021-02-02,40073.0,41.5,1.12,0.04,0.07,0.45,0.08,834000.0,19615.2,13456.12,169.8,1743.0,624830.0,3826.31,1.04,76.8,621908231690.1377,33405.99035714327,49268860242.66622
2021-02-03,40073.0,41.5,1.15,0.03,0.04,0.46,0.06,834000.0,19615.2,13402.37,169.8,1743.0,624830.0,3830.17,1.07,76.8,660664104637.4851,35485.98593382442,50730704376.60918
2021-02-04,40073.0,41.5,1.15,0.03,0.04,0.46,0.06,834000.0,19615.2,13560.89,169.8,1743.0,624830.0,3871.74,1.07,76.8,695794870715.5251,37494.71762460426,49762137494.206696
2021-02-05,40073.0,41.5,1.19,0.02,0.03,0.47,0.05,834000.0,19615.2,13603.96,169.8,1743.0,624830.0,3886.83,1.11,76.8,686453802173.3838,36816.50808203406,54494811707.23047
2021-02-08,40073.0,41.5,1.19,0.04,0.05,0.48,0.05,814500.0,19615.2,13695.02,169.8,1743.0,624830.0,3915.59,1.12,76.8,723434796637.7434,38833.34026455532,53802559038.8092
2021-02-09,40073.0,41.5,1.18,0.04,0.04,0.48,0.06,814500.0,19615.2,13687.08,169.8,1743.0,624830.0,3911.23,1.1,76.8,862413737410.9171,46307.57412159395,86994225365.2278
2021-02-10,40073.0,41.5,1.15,0.05,0.05,0.46,0.06,814500.0,19615.2,13655.27,169.8,1743.0,624830.0,3909.88,1.07,76.8,867164581003.3563,46569.56483,78828431117.05534
2021-02-11,40073.0,41.5,1.16,0.05,0.05,0.46,0.06,814500.0,19615.2,13734.35,169.8,1743.0,624830.0,3916.38,1.08,76.8,839561451461.0575,44848.69344950499,70000356395.81508
2021-02-12,40073.0,41.5,1.2,0.03,0.04,0.5,0.05,814500.0,19615.2,13807.7,169.8,1743.0,624830.0,3934.83,1.12,76.8,890629045243.5952,47815.96175554316,66187179918.887886
2021-02-16,40073.0,41.5,1.3,0.03,0.04,0.57,0.06,804000.0,19615.2,13773.77,169.8,1743.0,624830.0,3932.59,1.22,76.8,892345220938.2782,47898.487027633135,61061855793.76279
2021-02-17,40073.0,41.5,1.29,0.03,0.04,0.57,0.06,804000.0,19615.2,13699.71,169.8,1743.0,624830.0,3931.33,1.21,76.8,917339726314.6964,49238.13690672487,64141133353.975624
2021-02-18,40073.0,41.5,1.29,0.03,0.03,0.56,0.04,804000.0,19615.2,13637.51,169.8,1743.0,624830.0,3913.97,1.22,76.8,971516568847.578,52143.6788446198,68478739131.4286
